,California State Assembly,
Assembly Member,Jim Patterson,"Jim Patterson represents the 23rd Assembly District in the California State Assembly and is honored to serve portions of Fresno and Tulare counties, including the communities of Auberry, Centerville, Clovis, Fresno, Friant, Minkler, Shaver Lake and Three Rivers. Elected to the Assembly in 2012, he is currently serving his second term.
 
Jim and wife Sharon have lived in Fresno for most of their lives, raising three children, and now three grandchildren in the Central Valley.
 
He spent most of his professional career as a businessman and broadcast executive owning and operating radio stations in California and Idaho.
 
Serving two terms as the Mayor of Fresno from 1993-2001, he inherited the leadership of a city in free-fall with exploding crime levels and out of control auto thefts. After eight years of focused leadership, Jim left the City of Fresno with a $20 million general fund surplus, a AAA credit rating, over a billion dollars of new business approvals that created thousands of new jobs, and a reborn reputation for achievement that the National Civic League recognized when it designated Fresno an All-America City in 2000. Fresno residents saw crime plunge to a 25-year low. Homicides dropped to less than 25 a year and car thefts were down nearly 75 percent.
 
Jim currently serves as Vice-Chair of the Assembly Utilities and Commerce committee. He has introduced legislation focusing on improving the business climate in California and is dedicated to streamlining the often frustrating vocational licensing process. In 2013 Governor Jerry Brown signed AB 1028, which fast-tracks licenses for vocational nurses by removing government red-tape.
 
Making sure the ballots of our military men and women serving overseas are counted is also important to Jim. He fought hard for legislation to give those ballots three extra days to make it to California to be counted.
 
Jim is the Co-Chair of the Aviation Caucus. He earned his private pilot's license in 1968 and has logged nearly 2,500 hours of flight time. He has flown a range of airplanes including the Cessna 210, the Twin Bonanza B50, and the Citabria aerobatic 7GCAA. Because he has experienced the enjoyment of flying first-hand, he is using his role on the Aviation Caucus to remind policy-makers and the general public of the many ways General Aviation has contributed to California's economic and recreational well-being.
 
Having adopted three children, Jim and his family are passionate advocates for adoption. He is determined to promote adoption during his service in the Legislature and has authored several laws that streamline the process, making it quicker and easier for parents seeking to adopt."
Assembly Member,Henry T. Perea,"Henry T. Perea represents the 31st District in the California State Assembly, which includes the Central Valley communities of Caruthers, Coalinga,  Firebaugh, Fowler, Huron, Kingsburg, Kerman, Laton, Lanare, Mendota, Orange Cove, Parlier, Riverdale, Reedley, Sanger, San Joaquin, Selma and the southern portion of the city of Fresno. He was elected to the California State Assembly in November 2010 and is currently serving his third term in the Legislature.

Born and raised in Fresno, Perea attended local schools including St. Helen's Elementary and San Joaquin Memorial High School. He earned a Bachelor of Arts in Political Science from California State University, Fresno, and a master's degree in Leadership from the University of Southern California?s Sol Price School of Public Policy. He also completed the Senior Executive in State and Local Government program at Harvard University's John F. Kennedy School of Government.

Perea began his career in public service in November 2002 when he was elected to the Fresno City Council at the age of 25, becoming the youngest person ever elected to the position. He was re-elected to serve a second term in 2006, and served as the Council President in 2007.

While in local office, Perea served as President of the Latino Caucus-League of California Cities, co-founded the Latino Water Coalition, and served on the board of the California League of Cities. He also served on the San Joaquin Valley Air Pollution Control District Board and was appointed by Governor Arnold Schwarzenegger to the California Peace Officers Standards and Training Commission.

During his first term in the Legislature, Perea chaired the Assembly Committee on Revenue and Taxation. There, he worked to bring a balanced approach to California?s tax policy. One of his accomplishments as Chair was getting Assembly Bill (AB) 36 signed into law; AB 36 provides tax relief to parents who keep their adult children on their family health plan.

During his second term Perea chaired the Assembly Committee on Insurance. As Chair, Perea got AB 1309 signed into law; AB 1309 closed a loophole in California?s Workers' Compensation system.  Additionally, amidst crisis with the Employment Development Department?s Unemployment Insurance (UI) program, Perea held legislative hearings, worked with the administration, and authored legislation to ensure claimants had access to their benefits. These efforts led to changes in the UI program that dramatically improved service. 

Some of Perea's other legislative accomplishments are within the areas of health care, energy, air quality, alternative fuels, and clean drinking water. In 2013, Perea successfully authored AB 327, California's first comprehensive electric rate reform bill since the 2001 energy crisis. He also successfully authored AB 219, a bill that lowers the out-of-pocket costs for cancer patients utilizing oral chemo therapy.

Perea also brought a diverse coalition together to pass AB 8, which allocates $2 billion into alternative fuel infrastructure and electric vehicles, and lowers the costs to farmers and truckers who choose cleaner burning vehicles for which he was named legislator of the year in 2013 by the Alliance of Automobile Manufacturers and in 2014 was honored with the Blue Sky Award by CALSTART.   In addition, Perea was one of the lead authors of the water bond, and fought to bring funding for water infrastructure and good paying jobs to the Central Valley. The Association of California Water Agencies and the Latino Water Coalition both honored Perea for his leadership in securing passage of the water bond.

During his first term, Perea fought to save Fresno?s Veterans Home in the state budget.  There was not enough funding to open the facility, but with much support from the community funding was secured and the Home opened in October 2013. During his second term, Perea advocated for increased transportation funding for shovel ready projects, and as a result cities and counties received additional funding, along with funding for highway maintenance.

In December, Perea was named Chair of the Assembly Agriculture Committee.

Perea is married to Yahaira Garc≠a-Perea, a corporate communications consultant. They live in Fresno where they are raising their two children, Ava Isabella and H. Joaquin Perea."
Assembly Member,Bill Quirk,"Assemblymember Bill Quirk (D) was elected in November 2012 to represent the 20th Assembly District, which consists of Hayward, Union City, Castro Valley, San Lorenzo, Ashland, Cherryland, Fairview, Sunol and North Fremont.

Before being elected to the Assembly, Quirk worked as a climate change scientist at NASA before beginning his career at the Lawrence Livermore National Lab, where he played a key role in the negotiations for the Nuclear Test Ban Treaty. Teaching physics at Columbia, Caltech and UC Davis as well as playing an active role in his children?s education helped Quirk formulate his lifelong interest in education.

Quirk has served as a leader for more than 30 years in many local organizations including the local PTA, Hayward Rotary, the Friends of the Library, the Hayward Library Commission, the Board of Communication Workers of America Local 9119, and the Bay Area Water Supply and Conservation Agency.

In 2004, Quirk won a seat on the Hayward City Council. While on the city council, Bill brought the same in-depth, analytical perspective to city decisions that he developed as a scientist. He worked with his colleagues to prioritize neighborhood safety, revitalize downtown by attracting a movie theatre, improve traffic in the Mission-Foothill corridor, and create more jobs and housing around South Hayward BART.

Assemblymember Quirk and his wife Laurel moved to the Hayward area in 1978 and have been married for 41 years. They raised two children who attended California public schools and the UC system."
Assembly Member,Anthony Rendon,"Assemblymember Anthony Rendon represents the 63rd Assembly District in the California State Assembly. The 63rd Assembly District includes nine cities ? Bell, Cudahy, Hawaiian Gardens, Lakewood, Lynwood, Maywood, Paramount, South Gate, and a northern portion of Long Beach.
During his first term in office, Rendon chaired the Water, Parks, and Wildlife Committee and authored Proposition 1, the $7.5 billion state water bond, which voters passed by a 67% to 33% margin in the November 2014 election.

Now in his second term, Rendon chairs the Utilities and Commerce Committee, and serves on the Water, Parks & Wildlife, Natural Resources, Public Employees, Retirement and Social Security, and Appropriations Committees.

Rendon arrived in the Assembly with a commitment to clean, transparent, and open government, having come from a district with more than its share of impropriety by government officials. Rendon's work on the water bond reflected this commitment. During the bond development process, Rendon took input from residents over the course of 16 public hearings throughout the state, resulting in a measure with no earmarks or backroom deals.

In addition to the water bond, Rendon passed bills on a wide range of topics in his first term, reflecting his interests in early childhood education and the environment. He authored Assembly Bill 711, the statewide ban on lead hunting ammunition to remove a known toxic substance from impacting human and wildlife health. Rendon also passed Assembly Bill 2403, which streamlined stormwater capture programs and facilitated water conservation in California.

Prior to serving in the Assembly, Rendon was an educator, non-profit executive director, and environmental activist. He led Plaza de la Raza Child Development Services, Inc. as Executive Director. ""Plaza"" provides comprehensive child development and social and medical services to over 2,300 children and families offered through Plaza's 35 child development centers located throughout Los Angeles County. Before working at Plaza, Rendon served as the Interim Executive Director of the California League of Conservation Voters (CLCV) from 2008 to 2009.

Rendon attended Cerritos Community College before earning his Bachelors and Masters of Arts Degrees from California State University, Fullerton. As a recipient of a National Endowment for the Humanities Fellowship, he earned his Ph.D. from the University of California, Riverside and completed post-doctoral work at Boston University. Rendon served as adjunct professor in the Department of Political Science and Criminal Justice at California State University, Fullerton from 2001 to 2008.

Rendon resides in Lakewood with his wife Annie."
Assembly Member,Sebastian Ridley-Thomas,"Sebastian Ridley-Thomas was elected in December 2013 to represent California's 54th Assembly District, which includes the Los Angeles County communities of Century City, Culver City, Westwood, Mar Vista, Palms, Baldwin Hills, Windsor Hills, Ladera Heights, View Park, Crenshaw, Leimert Park, Mid City, and West Los Angeles.

Ridley-Thomas previously served as public policy director for State Senator Curren Price. In this capacity, he advised the senator on economic development, transportation, housing, public safety, and local government issues ? all of which are of critical importance to constituents in the 54th Assembly District. Ridley-Thomas also worked as a staff member in the district office, where he was responsible for a caseload of 900,000 residents in Greater Los Angeles.

The Assemblymember has also served as legislative consultant to the Senate Select Committee on Procurement, where he worked to ensure small business owners in underserved communities received their fair share of state contracts, and as the political director for the nine-member California Legislative Black Caucus.

Ridley-Thomas is dedicated to finding sensible solutions to the issues facing Los Angeles residents. His commitment to public service was inspired by his mother ? Avis Ridley-Thomas, a pioneer in conflict resolution ? and his father, Mark Ridley-Thomas, chairman of the L.A. County Board of Supervisors and founder of the community empowerment movement that has become a model for communities nationwide.

Ridley-Thomas received his Bachelor of Arts degree in Sociology from Morehouse College, where he held several leadership positions. A graduate of the CSU Sacramento Capitol Fellows Program, he trained in mediation and conflict resolution at UC Davis Extension and CSU Dominguez Hills. Ridley-Thomas lives in Los Angeles."
Assembly Member,Freddie Rodriguez,"Born and raised in the City of Pomona, Freddie Rodriguez has dedicated his life to serving his community. He has worked as an Emergency Medical Technician (EMT) in the San Gabriel Valley for over 29 years.

As an EMT, Freddie was awarded the California Star of Life award, for his outstanding community volunteer contributions and lifesaving rescues. In 2005, Freddie journeyed to Louisiana, Mississippi, and Texas to help the victims of Hurricanes Katrina and Rita.

Freddie was elected twice to the Pomona City Council. On the City Council, Freddie helped improve public safety, expanded Neighborhood Watch programs, created new jobs as a result of the economic development projects he championed, and delivered balanced budgets while protecting city services during tough economic times. He led the effort to restore firefighting positions in Pomona, ensuring that each shift was fully staffed and that firefighters were properly equipped to respond to fire and emergency calls.

A leader in helping jumpstart the local economy, Freddie brought together community and business leaders to help revitalize downtown Pomona, generate new economic investment, and create new jobs.

Freddie lives in Pomona with his wife Michelle. They have four children, Desirae, Freddie Jr., Vincent, and Selena, and two grandchildren, Jayden and Jacob. Their son, Vincent, currently serves as a Deputy Sheriff for the Los Angeles County Sheriff?s Department."
Assembly Member,Rudy Salas Jr.,"Rudy Salas Jr. was born and raised in California?s Central Valley.  Growing up in a modest neighborhood, Salas noticed that his neighborhood didn?t have the same basic services and amenities as other areas.  He quickly learned that in order to improve his community, he had to work with local elected officials to get answers and fight for a fair share of the resources.  This sparked his passion for public service.

While working towards his goal of public service, Salas worked in both the oil and grape fields getting firsthand experience in the largest industries that fuel the economy of his district.  Realizing his next step was college and coming from a working class family, he knew he had to work and save.  At one point, he held three jobs and later graduated from UCLA with two degrees.  Upon graduation, Salas was offered a job in Washington, D.C. where he worked in the White House.

Knowing his path would lead him back home; he returned to work at California State University, Bakersfield (CSUB). At CSUB, he served as a counselor with the Upward Bound Program, serving eight of our local high schools. Additionally, Rudy served as the Residential Life Director for the College Assistance Migrant Program for incoming college freshmen at the University. Salas remained active in politics which led him to the State Capitol. Salas served as legislative staff for leadership in both the Assembly and Senate. Shortly after, Salas realized his dream of representing and fighting for the community he was born and raised in by becoming the first Hispanic to serve on the Bakersfield City Council. He now has the honor of serving in the California State Assembly.

Since being elected, Salas has already made his mark fighting for jobs, education, water, veterans, and health services for the Central Valley.  Salas co-authored the Water Bond with $7.545 Billion for safe drinking water and storage project, giving California the ability to store water for use during dry years; saved funding for Ag Education programs such as FFA; authored a Hospital Authority Bill to save the local Kern Medical Center; secured $15 million in the budget for job training; helped secure millions of dollars for local schools; kept our neighborhoods safe by leading the charge to re-open local community correctional facilities and shut down illegal gambling cafes; protected veterans from discrimination and fought to tackle veteran homelessness; passed legislation to bring more doctors into the Valley; and spent countless hours volunteering and meeting with local friends and neighbors to make a difference.

Assemblymember Salas currently serves on the following Assembly Committees:  Accountability and Administrative Review; Agriculture; Governmental Organization; Veterans Affairs; Chair, Regional Approaches to Addressing the State?s Water Crisis; Chair, Workforce and Vocational Development in California; Member, Renewable Energy Economy in Rural CA; Member, California Workforce Investment Board.

Assemblymember Salas was elected in November 2012 to represent California?s 32nd Assembly District, comprised of part of the city of Bakersfield, the cities of Arvin, Avenal, Corcoran, Delano, Hanford, Lemoore, McFarland, Shafter, Wasco and the communities of Armona, Buttonwillow, Home Garden, Kettleman City, Lamont, Lost Hills, Stratford and Weedpatch."
Assembly Member,Miguel Santiago,"Miguel Santiago was elected in November 2014 to represent California?s 53rd Assembly District, which includes downtown Los Angeles, Koreatown, Mid-Wilshire, Boyle Heights, Pico Union, MacArthur Park, Westlake, Little Tokyo and the cities of Huntington Park and Vernon.

Prior to being elected to the State Assembly, Santiago served as District Director for former Assembly Speaker John A. P?rez.  In that capacity he worked with residents in every neighborhood in the district to assist them in solving problems with state government.

In 2008, Santiago was appointed to the Los Angeles Community College Board, then elected in 2009 and re-elected in 2011. He was elected to serve as President of the Board in 2011. Along with his colleagues, he led the effort to pass Measure J, a $3.5 billion bond aimed at building and renovating the district?s nine colleges. Under Santiago?s leadership, the campuses located within the district?Los Angeles Trade Tech, Los Angeles City College and East Los Angeles Community College?expanded, repaired and modernized facilities for training in professional careers such as nursing, health care, business, arts and entertainment, criminal justice, architecture and in the ?green? workforce sector.

While serving on the College Board, Santiago played a key role in auditing the bond expenditures, forming the Office of the Inspector General and the whistle-blower programs. During his time on the board, the district has overhauled the employee healthcare coverage resulted in a savings for the district?s operating budget. As a direct result, the district avoided furloughs and layoffs during unprecedented funding cuts to public education.

Santiago was born to immigrant parents and was the first in his family to graduate from college. He earned a degree in History from the University of California, Los Angeles. He, his wife and their son live in downtown Los Angeles."
Assembly Member,Marc Steinorth,"Marc Steinorth was elected to the California State Legislature in 2014 to represent the 40th Assembly District, which includes the communities of Rancho Cucamonga, San Bernardino, Highland, Loma Linda, and Redlands.  Previously, Marc served the City of Rancho Cucamonga since 2012 as a member of the City Council, and sat as Vice Chairman of the League of California Cities Inland Region Legislative Task Force, a group which aims to advocate for policy decisions in Sacramento that positively impact the interests of local residents and businesses. Additionally, Marc was a member of the Chamber of Commerce committee and the Technology and Communications Subcommittee, as well as the Consolidated Fire Agencies (ConFire) committee.

In his time on the Council, Marc worked to faithfully carry out prudent financial decisions that reflect good stewardship of public monies by the City, on behalf of Rancho Cucamonga taxpayers and residents. He recognizes that government must live within its means and that it has a responsibility to justify each tax dollar it spends. Doing so ensures that the necessary and valuable services and functions of government will be readily available for Californians now and in the future.

These guiding leadership and management principles Marc has developed are drawn from his extensive experience as a successful entrepreneur and businessman. Over 16 years ago, Marc founded Atlas Buying Group, Inc. which is still in business today providing professional services to local businesses and corporations nationwide, helping them grow and create jobs.

Additionally, Marc has dedicated himself to actively engaging with the community around him and volunteers his time with various local organizations including the James L. Brulte Senior Center, Our Homeless, HOA President RCV, HOA President The Courts, and the Lincoln Club of San Bernardino County.

Marc was raised in a military family, as his father served as an Officer in the United Stated Air Force for two decades; he and his family moved around the globe in commitment to the needs of our Nation. After graduating from Ramstein American High School in West Germany, Marc was admitted to the University of Maryland at Munich before returning to Southern California, where he completed his studies and graduated with honors from the University of California, Riverside with a bachelor?s degree in Political Science.

Marc is Vice Chair of the Assembly Committee on Housing and Community Development, and serves on the Health Committee and the Governmental Organization Committee.

Marc has been married to his wife, Maria, for 17 years and they have two children, Madison, age 14, and Mason, age 6."
Assembly Member,Mark Stone,"Mark Stone represents the people of California?s 29th Assembly District, which includes portions of Santa Cruz, Santa Clara, and Monterey Counties.   In his second term as a state legislator, Mark has emerged as a leader on environmental protection, child welfare, and public safety.

As an environmental champion, Mark has fought to curb illegal coastal development, reduce plastic pollution, and clean up drinking water supplies.  In his capacity as Chair of the Select Committee on Coastal Protection, he has held hearings investigating threats to the Pacific Ocean, oil spill prevention efforts, plastic garbage effects on the coastal environment, and offshore fracking.

Mark serves as Chair of the Assembly Judiciary Committee, which reviews legislation on a broad range of issues, including family law, product and tort liability and immunity, immigration, commercial contracts, court and jury procedures, civil practice and procedure.  In his first term, Mark served as Chair of the Assembly Committee on Human Services, where he led policy decisions on child welfare, foster care, developmental disability services, temporary cash assistance, and CalFresh food benefits.  He wrote laws to make it easier for foster youth to graduate from high school and access special benefits, assist low-income pregnant women better prepare for the arrival of their babies, and help people released from prison reintegrate into the community.  He also held several key oversight hearings to discuss ways to address childhood poverty and improve information sharing in the foster care system.  

Before his service in the Assembly, Mark represented the Central Coast in various capacities. He was elected twice to the Santa Cruz County Board of Supervisors, where he worked on health care, education, youth issues and the environment.  Mark led an overhaul of the Santa Cruz County child welfare system, and fought to halt discrimination of LGBT youth. As an environmental defender, he spearheaded the successful effort to ban single-use plastic bags in unincorporated areas of the county. 
In addition to his duties as a County Supervisor, Mark served the entire coast as Vice Chair of the California Coastal Commission. During his time on the Commission, he earned the reputation as a principled leader who protected the cherished California coastline for generations to come.

Prior to his work at the County, Mark was a trustee of the Scotts Valley Unified School District, eventually being elected President. Before entering public service, Mark worked as an attorney in the tech industry and as a professor at the Naval Postgraduate School.
Mark lives in Scotts Valley with his wife Kathy.  They have two adult children. Stone is an avid open water swimmer."
Assembly Member,Tony Thurmond,"Tony Thurmond was elected to represent California?s 15th Assembly District in November 2014. The district includes the East Bay communities that stretch along the I-80 corridor from Hercules to Oakland, including Albany, Berkeley, Emeryville, Piedmont, El Cerrito, Pinole, Richmond, San Pablo, El Sobrante and Kensington.

First elected to the Richmond City Council in 2005, Thurmond served as Council Liaison to Richmond?s Youth Commission, the Workforce Investment Board and the West Contra Costa Unified School District.

His priorities in the Assembly will be a continuation of his priorities as a non-profit leader, school board member, and as a city councilmember. Specifically, Thurmond plans to focus on improving the local and statewide economy, improving education from the ground up and preventing crime.

As a community advocate, Thurmond has helped create job training and workforce housing programs that can serve as a model for state efforts at poverty reduction.  Further, he recognizes that creating sustainable jobs for California youth is a successful way to reinvest in local communities.

Immediately prior to his election to the Assembly, Thurmond?s project, CEO Youth, was improving school attendance and reducing dropout rates?issues that he will continue to prioritize in the Assembly.  Recognizing that jobs, education and crime are interrelated challenges, Assemblymember Thurmond believes that,

?To get it right, we need to give our youth a California as good as its promise.  To get there, we need to do the real work to improve our schools, reduce dropout rates, create sustainable jobs that preserve our environment and invest in job training opportunities to build a 21st-century workforce.?

A Fellow in the Annie E. Casey Foundation?s Children and Family Fellowship program, Assemblymember Thurmond is a graduate and former student body president of Temple University. Assemblymember Thurmond did his graduate work at Bryn Maw College (Bryn Mawr, PA) where he received dual Masters Degrees in Law and Social Policy and Social Work. He lives in Richmond, California."
Assembly Member,Phil Ting,"Phil Ting was elected to the State Assembly in 2012, representing the 19th Assembly District which spans the West side of San Francisco as well as the communities of Broadmoor, Colma, and Daly City.  He brings a unique combination of financial skills, a commitment to civil rights, and years of experience from local government service to his work.  As a lawmaker, Phil is fighting for education reform and reinvestment; harnessing technology for a cleaner economy and more open government; and equal rights for all Californians.  In his first year, Phil was appointed to serve in Assembly leadership as Chair of the Democratic Caucus where he pursues consensus-based solutions to problems facing California.

Accomplishments:
Ting has authored a number of breakthrough measures, including new state laws strengthening hand gun and anti-stalking laws, requiring tax fairness for same sex couples, expanding urban agriculture and community gardens, protecting senior pedestrians, and keeping California a top tourism destination.  He was also a leader in the successful effort to revolutionize how K-12 schools are funded.  Starting in the fall of 2014, the state will direct more education funding to students confronting social inequities, like poverty or limited English language skills, through what is called the Local Control Funding Formula.  Further information about Ting?s legislation is available here [hyperlink to website legislation tab].

Committees:
Ting is Chair of the Select Committee on Asia/California Trade and Investment Promotion, and serves as a member of the Assembly Budget Committee and the Budget Subcommittee on Education Finance.  He is also a member of the committees on Business, Professions and Consumer Protection; Environmental Safety and Toxic Materials; and Revenue and Taxation.

Affiliations:
Ting co-chairs the San Francisco Advisory Board for ChinaSF, a public-private partnership dedicated to creating economic development opportunities by making San Francisco the gateway for Chinese companies looking to establish business operations in the Bay Area.

In the past, Phil served as a member of the Governing Board of the San Francisco Bay Restoration Authority; as President of the Bay Area Assessors Association and the Organization of Chinese Americans-SF Bay Chapter; and on the boards of directors for the Equality California Institute and Cal Alumni Association.

Background:
Prior to serving in the Assembly, Ting was the San Francisco Assessor-Recorder, a position he used to:

Close a five-year assessment backlog which resulted in $290 million in unpaid property taxes;
Spearhead efforts to help homeowners and tenants facing foreclosure by launching Don?t Borrow Trouble, an education and outreach program convening city officials and housing advocates to find local solutions to the foreclosure crisis; and
Create GoSolarSF, a first-of-its-kind program that has dramatically increased rooftop solar installations in San Francisco, as well as Reset San Francisco, an innovative online tool to help San Franciscans use technology to interact with City Hall.
Ting began his career as a real estate financial advisor at Arthur Andersen and CB Richard Ellis.  He is a past Executive Director of the Asian Law Caucus, an organization founded in 1972 to advance and promote the legal and civil rights of the Asian Pacific Islander community, and once served as Community Relations Director at San Francisco State University.  He is a graduate of U.C. Berkeley and Harvard University?s John F. Kennedy School of Government.  He lives in San Francisco?s Sunset District with his wife, Susan, and their two children."
Assembly Member,Donald P. Wagner,"First elected in 1998 to the South Orange County Community College District Board of Trustees, Don served three consecutive terms, including an unprecedented six years serving as Board President. Under Don's leadership, his district balanced every budget and paid off all its debts, without raising taxes.

A practicing attorney, Don is active in the Orange County business and legal communities. He has served on several committees or advisory boards for the Orange County Bar Association and as a Judge Pro Tempore in the Superior Court of Orange County. He has also published articles on legal, political, and cultural topics in the local media.

Don is committed to his community and is actively involved in several non-profits and charities. He served as president of the American Lung Association of Orange County, an affiliate of the nation's oldest voluntary health organization. He founded and served as the first president of the Orange County Chapter of the Federalist Society, a national organization of conservative lawyers, judges, and law professors committed to ensuring a judicial integrity and strict adherence to the Constitution of the United States. Don is also a past finalist for the Irvine ""Citizen of the Year"" award.

Don received his bachelor's degree in English from the University of California, Los Angeles. He earned a Juris Doctorate in 1987 from the University of California, Hastings College of Law, and was admitted to the California Bar in the same year.

In the Assembly, Don was appointed to serve on the two key fiscal committees, Appropriations and Budget, where he sits on the Sub-Committee 4 that addresses state administration. He is proud to serve as both Vice-Chair of the Assembly Judiciary Committee and Vice-Chair of the Assembly Committee on Aging and Long Term Care. Don also serves on the Assembly Health Committee, and as the Deputy Republican Floor Leader.

Don and his wife, Megan, reside in Irvine, where they raised their three children. All of the Wagner children were educated in the Irvine public schools, with which the Wagners have long been heavily involved in various types of volunteer work."
Assembly Member,Marie Waldron,"During the past two decades, Marie has been involved in North San Diego County. As a local business owner, she understands the economic impacts of burdensome government regulation and spending on the taxpayers and small businesses. As an elected official since 1998, she has fought for fiscal restraint, revitalizing our neighborhoods and is a strong supporter of public safety.
 
Having served as Escondido?s Deputy Mayor, and as a board member for the North County Transit District, she was the city?s representative to the League of California Cities, the Regional Solid Waste Association Board, and Escondido?s Investment subcommittee. Her commitment to her city has been honored by the Escondido Rotary Club with their Outstanding Community Service Award.
 
Marie and her husband, Steve Waldron have owned and operated Top End Tees Screenprinting and Apparel in Escondido for 20 years.  Waldron has been a member of the Escondido Chamber of Commerce and the Downtown Business Association for many years. She was appointed and served 4 years as California?s Honorary Chairman of the Business Advisory Council which advocated on behalf of California?s small businesses to Congress.
 
Active in the San Diego region, Waldron was a founding member of the San Diego chapter of CWLA (California Women?s Leadership Association), is a member of the Howard Jarvis Taxpayers Association, and the American Legion Auxiliary.
 
The Waldron?s have a 13 year old son and Steve is the founder of the successful ?Cruisin? Grand? hotrod event held in downtown Escondido for the past 14 years.  Marie has a B.S. degree from St. John?s University and has done graduate work at UCSD and SDSU.
 
Elected Office
City Councilmember, City of Escondido 1998 -2012
Deputy Mayor, City of Escondido 2002 ? 2004 and 2010-2012
Board of Directors, North County Transit District (NCTD) 1998 ? ?02, Alternate: current
League of California Cities 2002 ? Representative ?03 ??12
Regional Solid Waste Association (RSWA) Board Member ?03 ? ?12
City of Escondido Public Safety Subcommittee
City of Escondido Utilities Subcommittee
City of Escondido Investment Subcommittee
 
Appointments & Commendations
Appointed California Honorary Chairman, Business Advisory Council (BAC)
Escondido Rotary Club?s Outstanding Community Service Award 1990
 
Associations & Political Memberships
American Legion Auxillary
San Diego Lincoln Club
North County Chapter of the Lincoln Club
Founding Member, California Womens? Leadership Association (CWLA)
Howard Jarvis Taxpayers Association
San Diego Taxpayers Association
Adam Smith Institute ?98 ? ?06
Leadership 2000 alumni"
Assembly Member,Shirley Nash Weber,"Assembly Member Shirley Nash Weber was elected in November of 2012 to represent California's 79th Assembly District, which includes the cities of Chula Vista, La Mesa, Lemon Grove, National City and San Diego.

Weber Chairs the Assembly Committee on Budget, Assembly Select Committee on Higher Education in San Diego County; and the Assembly Select Committee on Campus Climate. She also serves on the Assembly committees on Education, Higher Education and Appropriations.

Born to sharecroppers from Hope, Arkansas, Shirley Weber has lived in California since the age of 3. Her parents, in particular her father, valued education and supported their daughter's academic aspirations. She attended UCLA, where she received her BA, MA and PhD by the age of 26. Prior to receiving her doctorate, she became a professor at San Diego State University at the age of 23. Dr. Weber also taught at California State University at Los Angeles and Los Angeles City College before coming to San Diego State University.

Weber has lived in the 79th Assembly District for over 30 years. Deeply committed to community service, she served on the boards of the NAACP, the YWCA, the YMCA Scholarship Committee, Battered Women Services, United Way and the San Diego Consortium. She eventually made a successful run for a seat on the board of the San Diego Unified School District. As a trustee and subsequent school board president, she became known for her advocacy for closing the achievement gap and setting a higher standard of excellence for all children.

As an Assemblymember, Weber has translated her commitment to education into her ambitious legislative agenda. During her freshmen year in the California State Legislature, five of seven of her successful bills were related to education, including ACR 45 urging lawmakers and the governor to restore funding to early childhood education; AB 56 requiring standards for installing carbon monoxide devices in schools, and AB 899 linking English language. Bills signed in 2014 include legislation addressing civil rights, education, protections for person with disabilities and voting rights.

Her Select Committee on Campus Climate has been exploring some of the racial incidents on state university campuses, the responses from university officials, and possible policy changes to make the campuses safer and more welcoming for all students. She is also outspoken on the importance of investing in early childhood education as a means of preventing drop-out rates, dependence on social services, incarceration and unemployment.

Assembly Member Weber is the mother of a daughter and son, and has two grandchildren. She is the widow of the late Honorable Daniel Weber, a California state judge."
Assembly Member,Scott Wilk,"Scott Wilk was elected to the California State Assembly in 2012 and was re-elected in 2014. He represents the 38th Assembly District which encompasses Simi Valley, the northwestern section of the San Fernando Valley, and most of the Santa Clarita Valley including the city of Santa Clarita and the communities of Agua Dulce, Castaic, Stevenson Ranch, and Val Verde.
 
During his first term in office, Scott quickly established himself as a results-oriented leader and was appointed as Republican Caucus Chair for the Assembly Republican Caucus Leadership Team. The Caucus Chair is the number-two position in the Republican leadership structure and Caucus Chair assists the Leader in overseeing caucus operations, advancing the Republican policy agenda, and achieving the Caucus? legislative goals.  
 
For the 2015-16 Legislative Session, Assembly Speaker Toni Atkins named Scott as Vice Chairman of the new Committee on Privacy and Consumer Protection. This brand new committee will have jurisdiction over all aspects of privacy from Internet media to consumer retail information to electronic medical records as well as other issues in the broader field of technology: the security of data, protection of personal information, information technology generally, and even California?s own Department of Technology. The committee will also be responsible for legislation related to false advertising, product labeling and consumer protection generally.
 
Additional committees Wilk has been assigned to include: Budget Committee (Sub 4 - State Administration), the Governmental Organization Committee, the Business and Professions Committee and the Joint Committee on Arts.
 
Keeping jobs in California is a high priority for Wilk and he played an important role in the passage of Assembly Bill 1839, the California Film and Television Job Retention and Promotion Act. California?s film tax credit will be increased to $330 million a year for five years beginning with fiscal year 2015-16 and replaces the current lottery system with a more competitive and accountable system.
 
To ensure greater accountability from non-elected bureaucrats, Wilk authored AB 1707 which will require the State Water Resources Control Board to post scientific peer reviews on its website as it relates to communities having to comply with TMDL standards. The law goes into effect on January, 1 2015.
 
Scott has been a vocal advocate for government transparency in the election process, which is why he authored AB 2551 to establish a minimum standard of transparency for the fiscal analysis of local bond measures that is very similar to what the LAO already does for state General Obligation bond measures.
 
In 2014, Scott was selected by the non-partisan, non-profit State Legislative Leaders Foundation to attend the prestigious Emerging Leaders Program held at the University of Virginia. The program is geared toward newer legislators that show promise as future legislative leaders, Scott was the only legislator selected from California. 
 
Scott and his wife Vanessa reside in Santa Clarita and they have two adult children."
