,California State Senate,
Assembly Member,Tom Lackey,"First elected as councilmember for the City of Palmdale in 2005, Lackey has been a strong advocate for affordable taxes, public safety, education improvements and job growth through private sector economic development.

Raised in the small high desert mining town of Boron, Lackey was active in the Boron High School student government in both junior high and high school and earned the rank of <""-TOKEN>Eagle Scout<""-TOKEN> from the Boy Scouts of America.

After high school, Lackey served his church as a missionary for two years. Upon returning, he completed his Bachelor of Science degree in special education from Utah State University, and later was an elementary special education teacher.

Since beginning his 28-year career with the California Highway Patrol in 1985, he has worked in Los Angeles, El Cajon, Baldwin Park and the Antelope Valley.

Lackey first entered elected public service as a member of the Palmdale Elementary School District Board of Trustees. He went on to serve two terms as a councilmember for City of Palmdale from 2005 to 2014.

Lackey was a city appointee to the California Contract Cities Association, the Antelope Valley Crime Task Force, Antelope Valley Transit Authority Board, and the Antelope Valley Human Relations Task Force. During his school board years he was a member of the executive council of the Antelope Valley School Boards Association.

Tom Lackey and his wife Theresa, live in Palmdale with their two adopted children, Justin and Jani."
Assembly Member,Marc Levine,"Assemblymember Marc Levine was elected in November 2012 to represent the 10th Assembly District, comprised of Marin County and Southern Sonoma County.  This includes the North Bay communities of Corte Madera, Cotati, Fairfax, Kentfield, Larkspur, Mill Valley, Novato, San Anselmo, San Rafael, Sausalito, Sebastopol, Tiburon, Penngrove, Petaluma, Sonoma, West Marin, and parts of the City of Santa Rosa.

His priorities include funding higher education & K-12 and improving the quality of public education.  California<'-TOKEN>s precious water supply is also a high priority. We also have to improve our transportation infrastructure.  Additionally, we need to continue paying down California<'-TOKEN>s wall of debt and control spending in order to continue funding for vital public services. 

A former San Rafael City Councilmember, Levine has held leadership posts throughout his career helping to develop innovative solutions at the local, state, national and international levels. He currently chairs the Assembly Committee on Water, Parks, and Wildlife.  This committee is responsible for overseeing Water Bond expenditures, implementation of a long-term plan to protect our beautiful parks, and protecting endangered species, migratory birds, and other wildlife.

In his first term in the Assembly, Levine was the vice-chair of the Local Government Committee and chaired the Assembly Select Committee on Agriculture and the Environment.  In 2013-14, Governor Brown signed into law 23 bills authored by Levine including historic Marin County housing legislation.  Other laws written by Levine support online education at CSU campuses, increase use of recycled water, increase access to the California Coastal Commission meetings, create new charging stations for electric vehicles, expand markets for local businesses, and protect victims of violent crime.

Levine has also worked as an advisor and consultant to social enterprise and high tech startups. He developed award-winning technology for human rights organizations, in the process raising millions in funding from the U.S. State Department, the Soros Foundation and other funders to create technology that is now in use globally.  Additionally, Levine has worked to create innovative programs that use technology to foster learning in underserved classrooms.

Levine earned his Master<'-TOKEN>s Degree in National Security Affairs from the Naval Postgraduate School in Monterey, CA, and was recognized with a Special Act Award for his work to promote the elite graduate school around the world. While earning his Bachelor<'-TOKEN>s Degree in Political Science at Cal State Northridge, he was elected Chair of the California State Student Association representing over 400,000 students to the State Legislature and Board of Trustees.

Some of Levine<'-TOKEN>s past activities include: Vice Chair, Marin Telecommunications Agency; Governance Committee, MarinKids; Alternate Commissioner of the Bay Conservation and Development Commission; Alternate Director of the San Rafael Sanitation District and Central Marin Sanitation Agency; Member of the Executive Board of the California Democratic Party; Vice Chair of California Democratic Party Business and Professional Caucus; and Fellow of the ZeroDivide Foundation.

Assemblymember Levine lives in San Rafael with his wife Wendy and their two children."
Assembly Member,Eric Linder,"Assemblyman Eric Linder is a small business owner, a husband, and a father and resides in Corona, California.
 
Elected to the California State Assembly in 2012, Eric currently represents California<'-TOKEN>s 60th Assembly district which encompasses the cities of Corona, Eastvale, Jurupa Valley, Norco and Riverside.
 
For almost twenty years, Eric has worked in real estate, helping find ways to incorporate technology into the industry.
 
He has spent years helping people get the home of their dreams. But as the market turned in the Inland Empire and real estate began struggling, Eric took his technology background and founded an online communications firm, eMotiv Marketing. In fact, Eric<'-TOKEN>s firm built the websites for several Members of the Assembly Republican Caucus.
 
Eric previously owned and operated an aircraft rental and chartering company. This wealth of business experience has given Eric an appreciation for the damage that high taxes and over-regulation can have on small businesses that struggle enough just to get by.
 
Eric has also been a longtime champion against government waste. He was one of the Founders of the Corona Taxpayers Association, and has been part of business groups throughout Southern California for years.
 
The son of a Mexican immigrant father, family has always been important to Eric. In fact, Eric is raising his family in the same area he grew up in. Eric lives in Corona with his wife and three children. He attended Highland Elementary and Norco High, which are both in the District, while his oldest daughter is an alumna of Santiago High School and now attends California Baptist University. Eric has helped coach his kids<'-TOKEN> soccer and softball teams, and is a regular rodeo attendee.
 
Currently, Assemblyman Linder serves as the Vice-Chairman of the influential Assembly Committee on Government Organization, while also serving on other key policy committees including Transportation, Higher Education, and Local government."
Assembly Member,Patty Lopez,"Assemblymember Patty L<O-TOKEN>pez (D-San Fernando) was elected to the State Assembly in November 2014 to represent California's 39th Assembly District, which includes the communities of Pacoima, San Fernando, Arleta, Mission Hills, Sylmar, North Hollywood, Lake View Terrace, Los Angeles, Northeast Granada Hills, Sunland-Tujunga, and Sun Valley.

Before being elected to the State Assembly L<O-TOKEN>pez was a former community representative for the North Valley Occupational Center. She was also a community activist for various community projects such as serving on site councils at San Fernando public schools. Moreover, L<O-TOKEN>pez helped form a parents' grassroots group<--TOKEN>Padres Activos SFV<--TOKEN>to provide immigrant parents with greater information about their civil rights.

A mother to four girls, a grandmother and married to Juan L<O-TOKEN>pez, Assemblymember L<O-TOKEN>pez is committed to making a difference in the community, especially through advocating for a quality public education for all children."
Assembly Member,Evan Low,"Evan Low was elected to the California State Assembly in November 2014 to represent District 28 and is currently serving in the leadership team as Assistant Majority Whip.  At the age of 31, Assemblymember Low is the youngest Asian American legislator to have been elected to the Assembly in state history.  The district is located in the Silicon Valley and includes Campbell, Cupertino, Los Gatos, Monte Sereno, Saratoga, and the areas of West San Jose, Willow Glen, Cambrian, and Almaden Valley in San Jose.

Assemblymember Low is a lifelong resident of the Silicon Valley and has been a regional community leader. His work within the community and deep knowledge of issues local residents faced led him to run for Campbell City Council in 2006. He made history as the first Asian-American elected to Campbell<'-TOKEN>s City Council.

In 2010, Assemblymember Low also made history by becoming the youngest openly LGBT mayor in the country at the age of 26. While serving on Campbell<'-TOKEN>s City Council, he helped balance the city budget without eliminating vital services and increase government transparency by streaming City Council meetings online. Assemblymember Low promoted small business and job growth by cutting red tape and streamlining the licensing process for business owners.

Assemblymember Low championed and negotiated a pension reform plan that was successful and resulted in Campbell being the first city in the county to pass such a measure. 

He also served as a community college instructor teaching American Government and Political Science at De Anza Community College.

A Bay Area native, Low attended local public schools and earned degrees from De Anza Community College and San Jose State. He went on to graduate from the Senior Executives in State and Local Government Program at Harvard University."
Assembly Member,Brian Maienschein,"Brian Maienschein was elected to the California State Assembly in 2012, winning with a record number of votes. He was overwhelmingly re-elected to a second term in 2014.   
A proven leader who works across party lines, Brian serves as Chair of the influential Assembly Local Government Committee. Prior to being elected as an Assemblymember, Brian served eight years on the San Diego City Council.           
Brian was elected to the San Diego City Council in November 2000 with the most votes ever received by a non-incumbent, and was re-elected without opposition in 2004. Over the course of both elections, he received the highest number of votes ever cast for a City Council candidate.

During his tenure on the City Council, Brian preserved over 11,000 acres in the San Pasqual Valley from development. He secured the opening of State Route 56 and made numerous infrastructure improvements throughout his district.
He is most well-known for his outstanding response to the 2003 Cedar Fire and the 2007 Witch Creek Fire. Following both fires, he set up a one-stop shop for disaster victims. The plan he created became a national model for disaster response.
Brian also served as San Diego<'-TOKEN>s first Commissioner on Homelessness. He created a program that received numerous awards, including a Golden Watchdog award from the San Diego County Taxpayers Association for its success in reducing homelessness, while saving millions of taxpayer dollars.

Prior to serving on the City Council, Brian was the Executive Director of Youth Court, an innovative program that has forged a partnership between law enforcement, schools, and community groups to get first-time juvenile offenders back on track. For his work with the program, Brian received the District Attorney<'-TOKEN>s Crime Victims<'-TOKEN> Rights Award.

In the Assembly, Brian has continued to work to improve California<'-TOKEN>s education system and to provide students the tools they need to succeed. To help make college more affordable and accessible for California<'-TOKEN>s hardworking students, he co-authored a measure which would freeze tuition rates at our state universities.

Brian has also worked to promote economic growth and to protect jobs. He was named a Tech Champion by TechAmerica for his work to promote San Diego<'-TOKEN>s technology industry; he also received the Assembly Small Business Leadership Award from the California Small Business Association, and the Board of the California Small Business Roundtable in recognition of his commitment to and support of small business. 

A supporter of our military, Brian authored new laws to make it easier for veterans to attain military documents and to provide professional licenses to out-of-state military spouses stationed in California. 
To strengthen public safety and protect California<'-TOKEN>s communities, Brian authored several laws to require caregivers at the Department of Social Services to undergo an extensive criminal background check, to increase sentencing for assaults on disabled victims, and to double the sentence for the exploitation of minors.  For his work on behalf of children and adults with disabilities, Brian received the Assembly Advocate Award from Easter Seals.

Brian has continued his advocacy for our state<'-TOKEN>s homeless population by co-authoring the Veterans Housing and Homeless Prevention Act of 2014 and authoring many other measures aimed at serving these individuals.
Brian also teaches a course on Election Law at the University of San Diego Law School.

A graduate of the University of California, Santa Barbara and California Western School of Law, Brian<'-TOKEN>s proudest accomplishments are his two daughters, Taylin and Brenna."
Assembly Member,Devon Mathis,"In November 2014, Devon Mathis was elected to represent California<'-TOKEN>s 26th Assembly District which encompasses Tulare, Inyo and a portion of Kern Counties.

The middle child of six children, Devon was born and raised in the heart of California<'-TOKEN>s central valley. This all-American boy was raised with small town values and a love of his country.  After graduating from Reedley High School in 2001, Devon joined the United States Army National Guard where he served as Sergeant for nearly 10 years, including 2 combat tours to Iraq.  As Squad Leader of the 1114th Transportation Company, his leadership guaranteed 100% accountability and completion of all missions. 

During Devon's second tour in Iraq, he sustained major injuries from a road side bomb attack in 2008 which gained him a Purple Heart.  After returning home, Devon went through extensive VA therapy.  This road to recovery prepared him for a return to civilian life and to his college success.

In 2009, Devon started college at Porterville City College and soon became the Veterans Club President.  Phi Theta Kappa Honor Society also took notice of Devon<'-TOKEN>s abilities and made him their Secretary. Devon completed his studies in counseling and graduated with an AA in Social Science in 2011. 

When he transferred to Fresno State University, he changed majors from Psychology to Public Administration. Devon focused his studies on Public, Non-Government Organizations/Community Based Organizations, Government and Hospital Administration practices, earning himself  a BA in Public Administration and graduating as the President of the Veterans Fraternity.

While at Fresno State, Devon was recruited by the Golden Key Honors Society and by Omega Delta Sigma National Veterans Fraternity.  He lead several community service projects, fundraisers and community outreach programs. Devon also sat on discussion boards, was invited to be an expert guest on both the radio and news shows, among countless other activities in his community.

In 2012, Devon met his wife Aubrey.  They combined their families in 2014 and welcomed a set of twins, Maggie and Jefferson on December 1, 2014, roughly 9 hours before Devon was sworn into office as a California Assemblyman. The Mathis family has made their home in Visalia, CA.

Assembly Speaker Tony Atkins recognized Devon<'-TOKEN>s many life experiences which make him a valuable asset to the 2015-2016 Assembly and appointed him Vice Chair on the Veteran Affairs Committee. In addition to the Veteran Affairs Committee, Devon was appointed to serve on the Water, Parks, and Wildlife Committee, Agriculture Committee, and the Aging and Long-Term Care Committee. "
Assembly Member,Chad Mayes,"Over the course of his decade-plus years of public service, Chad Mayes is noted for bringing a spirit of responsive, servant leadership to every position he has held.  From his tenure as a Yucca Valley Town Councilman and as a board member of the San Bernardino Associated Governments, to leadership on the Statewide Board of Directors for League of California Cities, it<'-TOKEN>s clear that Chad<'-TOKEN>s ability to build relationships on both sides of the aisle benefit the communities he serves.

A governing conservative, it was Chad<'-TOKEN>s reputation for building consensus that resulted in his appointment to a number of key legislative committees including serving as Vice Chair of the Assembly Human Services Committee.

In addition to his Vice Chairmanship, Mayes was appointed to the Governmental Organization Committee as well as the Insurance committee.  Also noteworthy was Mayes<'-TOKEN> additional appointment to the important Assembly Rules Committee, which serves as the administrative body governing the Assembly, as well to the Special Committee on Legislative Ethics.

First elected to the Yucca Valley Town Council in 2002 then re-elected by wide margins in 2006 and 2010, Chad was twice chosen by colleagues to serve as Mayor. In each of his years as Councilman and Mayor, Chad<'-TOKEN>s leadership helped deliver a remarkable record of balanced budgets without tax increases.  At the height of the state and national financial crisis, Yucca Valley responded with a disciplined action plan that included significant budget cuts while still safeguarding the community<'-TOKEN>s rainy day fund. By the time Chad left the Town Council, the community had 40% of its budget in reserves.

As President of the Desert Mountain Division of the League of California Cities, Chad became a strong and visible advocate for shifting power away from state and federal government and back to local communities, an approach he will continue to champion in the State Assembly.

Chad<'-TOKEN>s commitment to his community also includes past service as a youth sports referee, a lifeguard and swim instructor. He also served as Treasurer of the Yucca Valley Chamber of Commerce.

Chad and his wife Shanon live in their lifelong hometown of Yucca Valley. The son of a pastor, he is a committed Christian and leader in his local church. A former Financial Advisor and Registered Tax Preparer, Chad shares ownership in a local small business with his brother.  Chad is a graduate of Liberty University."
Assembly Member,Kevin McCarty,"Assemblymember Kevin McCarty was elected to the California State Assembly in November, 2014 to represent Assembly District 7, which includes the communities of Sacramento, West Sacramento, Rio Linda, Elverta, and Antelope.

Prior to being elected to the California State Assembly, Kevin McCarty served on the Sacramento City Council for ten years. As a City Councilmember, McCarty led efforts to restore public safety, invest in public schools, protect the environment and promote good government measures.

McCarty worked to steer over $200 million in funding for new local libraries, parks and communities centers. In 2012, he led the effort to pass Measure U to restore public safety, and invest in libraries, parks and recreation services. He wrote common-sense laws to curb gun violence and promoted good government measures like the creation of a City Whistleblower Hotline program and an Independent Auditor. McCarty helped lead the Council to cut red tape and streamline city regulations to spur job growth.

An advocate for the environment, McCarty was awarded the Clean Air Leadership Award for his work on anti-smoking policies and clean air regulations. He led the $100 million Clean Energy Sacramento program to provide energy upgrades for homes and commercial buildings, which created around 1,500 jobs.

McCarty has also worked as a preschool advocate for Early Edge California, a statewide non-profit organization dedicated to expanding access to quality early education programs. He helped pass the California Kindergarten Readiness Act in 2010 to expand early education programs.

A lifelong Sacramentan, McCarty grew up in Sacramento and attended local public schools.  He attended American River College, earned a B.A. in Political Science from CSU Long Beach and an M.A. in Public Policy and Administration from CSU Sacramento.

McCarty lives in the Elmhurst neighborhood with his wife Leticia and his twin kindergarten-aged daughters, Victoria and Barbara."
Assembly Member,Jose Medina,"Assemblymember Jose Medina begins his second term in the Assembly with an appointment by Speaker Toni G. Atkins to chair the Assembly Committee on Higher Education. For the 2013-2014 legislative session, Mr. Medina chaired the Assembly Jobs, Economic Development and the Economy Committee, preserving California<'-TOKEN>s businesses. 

Medina was first elected to the California State Assembly in 2012, he represents California's 61st Assembly District, which consists of Riverside, Moreno Valley, Perris and Mead Valley.

During his first term in the Assembly, Medina led the effort to ensure the University of California, Riverside Medical School received $15 million of full and continuous funding through the state budget, to train students for crucial jobs in the health-care industry. In turn, those jobs will strengthen the region<'-TOKEN>s economy, as well as improve health care accessibility in the Inland Empire. Additionally, Medina passed legislation which assisted small businesses, helped protect seniors, and improved goods movement throughout the state.

Medina brings to the legislature a lifetime of experience in education from his many years as a teacher with the Riverside Unified School District, also serving as a member of the Riverside City Teachers Association, and a representative to the state council of the California Teachers Association (CTA).

Medina's eagerness to assist students beyond the classroom motivated him to pursue public office. He served as school board member on the Jurupa Unified School District Board of Education and completed three successful terms on the Riverside Community College District Board of Trustees.

During his tenure as a Trustee, he chaired the Teaching and Learning Committee and supported establishing independent colleges in Riverside, Moreno Valley and Norco. Medina recognizes the critical role higher education plays in supporting jobs and opening up the doors for opportunity. He graduated from UC Riverside with a bachelor's degree in Latin American Studies, and a master's degree in History.

Assemblymember Medina has two adult children, Jennifer and Matthew and two grandchildren, Elsa and Liam. He currently resides in Riverside with his wife, Linda."
Assembly Member,Melissa Melendez,"Melissa Melendez is a native of Youngstown, Ohio.

Melissa entered the United States Navy upon graduating high school. She attended the Defense Language Institute in Monterey, California, where she became a fluent Russian language speaker.

Melissa then became one of the first women approved by the U.S. Navy to fly aboard EP-3 reconnaissance aircraft overseas, conducting reconnaissance and intelligence gathering operations in partnership with our allies. She served her country with honor and distinction as a Russian translator for ten years during the height of the Cold War, and flew covert missions during Operation Desert Shield and Desert Storm. While serving in the Navy, she received numerous awards for her strategic acumen, operational insight, professionalism and impeccable leadership skills.

While serving in the Navy full-time, Melissa also attended college full-time in the evenings, and received her BA in History and Political Studies from Chaminade University in Honolulu, Hawaii. After the Navy, Melissa took an academic advisory position at Chaminade University for two years before deciding to begin her own business. She then formed her own successful transcription company, contracting with the Chief of Naval Operations, and providing services to the Secretary of the Navy as well as other top-level Pentagon officials. Melissa attended the Murrieta Campus for the University of Phoenix to earn her MBA in June of 2008.

In 2008 Melissa Melendez was elected to the Lake Elsinore City Council.  She served as Mayor Pro Tem as well as Mayor during her four years in local government.

Melissa has distinguished herself throughout the district by tackling some of the most important issues of the day, like fighting for increased government transparency, reducing taxes, and easing the burden on the business community. Melissa is also known to be a tireless advocate for veterans and military families.

Melissa has five children with her husband of 17 years, Nico Melendez, who works for the Department of Homeland Security. Nico is also a veteran of the U.S. Navy, having served 10 years on active duty around the world as a journalist and public affairs officer. He proudly continues to serve today in an active naval reserve unit."
Assembly Member,Kevin Mullin,"Kevin Mullin was re-elected in November 2014 to represent the 22nd Assembly District and on December 1, 2014 was sworn in as the Speaker pro Tempore for the 2015-16 legislative session. In his new role he will continue as part of the Speaker<'-TOKEN>s leadership team and will preside regularly over floor sessions. The job is critical to ensuring bi-partisan cooperation and civility in the business before the full Assembly floor, making rulings on parliamentary inquiries and points of order, as well as ensuring smooth operations as the Assembly takes up thousands of bills in its upcoming session.  Kevin served as the Assistant Speaker pro Tempore in his first term.

Born and raised in South San Francisco, Kevin has deep roots in San Mateo County. He attended public and Catholic elementary schools, graduated from Junipero Serra High School, received a Bachelor's degree in Communications from the University of San Francisco, and a Master's degree in Public Administration (M.P.A.) from San Francisco State University. Kevin also completed an executive leadership program at Harvard University's Kennedy School of Government.

Kevin was elected to the South San Francisco City Council in 2007 and again in 2011 and served as Mayor in 2011. He also represented the cities of San Mateo County on the Metropolitan Transportation Commission.

His legislative experience also includes serving as district director for then-State Senator Jackie Speier (now Congresswoman) and as political director for his father, former State Assemblymember Gene Mullin.

As an entrepreneur, Kevin created KM2 Communications<--TOKEN>a multimedia production business in South San Francisco. He produced numerous documentaries, public affairs programming seen on local television and hosted various programs seen on Peninsula-TV Channel 26.

His legislative priorities will continue to focus on a balanced budget with a healthy rainy day fund, election reform, clean energy and strengthening our innovation economy.

In addition to his duties as Speaker pro Tempore, Kevin will also serve on the following committees: Budget, Budget Subcommittee #4 on State Administration, Business and Professions, Revenue and Taxation, Elections and Redistricting and Housing and Community Development.

The 22nd District includes the cities of Belmont, Brisbane, Burlingame, Foster City, Hillsborough, Millbrae, Pacifica, Redwood City, San Bruno, San Carlos, San Mateo, portions of South San Francisco and the Coastside communities of Montara and Moss Beach.
Kevin was born and raised in San Mateo County and is a 4th generation Californian. He lives in South San Francisco with his wife, Jessica Stanfill Mullin, and their Kerry Beagle, Sunshine."
Assembly Member,Adrin Nazarian,"Adrin Nazarian is a product of the San Fernando Valley. He grew up here, graduated from a local Valley school before receiving his BA degree in Economics from UCLA in 1996.  Adrin served as chief of staff to Councilmember Paul Krekorian, who represents the communities of Studio City, Sherman Oaks, Valley Village, North Hollywood and Valley Glen, before being elected to the State Assembly. Previously, Adrin had served as chief of staff to then-Assistant Majority Leader Paul Krekorian in the California State legislature, representing the communities of North Hollywood, Van Nuys, Valley Glen and Toluca Lake among others, since 2006.

Adrin developed his passion for public service from an early age and while in college decided to volunteer in as many places he could to better understand in what arena he would apply himself. A life altering experience was when he applied to become an interviewer of battered and abused women at the San Fernando Valley Superior Court Domestic Violence Clinic unit as a summer internship job. There he saw first-hand the results of what happens in the privacy of homes, taking down reports in order to submit restraining orders on behalf of the victims. This experience stayed with Adrin, which years later lead him to sit on the YWCA Board, and has influenced each of his policy making roles in public service.

Upon graduating UCLA, Adrin participated in the prestigious CORO Fellowship in Public Affairs program. From 1997-1999, Adrin served as an aide to Congressman Brad Sherman (D-CA), assisting him with business and labor community issues. 

In 1999, former Governor Gray Davis appointed Adrin as Special Assistant to the California Trade and Commerce Agency. During his tenure at the agency, he helped establish the Division of Science, Technology and Innovation, which focused on creating and maintaining technology based jobs in California.

Adrin believes in civic engagement and the importance of giving back to his community, he has served on the boards of several community based organizations including the East Valley YMCA and the YWCA. Adrin was one of the founding members of Generation Next Mentorship program which worked with local public schools to give young people alternatives to a life of gangs and drugs. 

Adrin and his wife, Diana, live in Sherman Oaks with their sons Alex and David."
Assembly Member,Jay Obernolte,"Jay has over 25 years of private sector experience as one of the nation<'-TOKEN>s leading high-tech innovators and has served as a public servant for nearly a decade. His unique background led to his selection as the Assistant Republican Leader of Innovation and the New Economy. In this capacity, Jay serves as the leading voice of the Assembly Republican Caucus on policy goals that encourage growth and opportunity within California<'-TOKEN>s vibrant innovation economy.
 
As a junior in high school, Jay discovered his passion for computers while creating his first commercial computer program. Jay earned a Bachelor of Science Degree in Engineering and Applied Science at Caltech where he also founded his business out of his dorm room. He went on to receive a Master<'-TOKEN>s Degree in Artificial Intelligence at UCLA. Today his company, FarSight Studios, employs 25 local residents and develops videogame technology for Sony, Microsoft, and Apple.
 
As a public servant, Jay was first elected to the Board of the Big Bear City Airport in 2005 where he served three terms as President. In 2010 he was elected to the Big Bear City Council and quickly became known as Big Bear Lake<'-TOKEN>s fiscally-responsible Mayor. In addition to his council responsibilities, Jay also served as a Director on the Big Bear Lake Fire Protection Board and a member of the Big Bear Fire Authority. Regionally, Jay has served as a Director on the Mojave Desert and Mountain Integrated Waste JPA Board, the Mountain Area Regional Transit Authority Board, and on the League of California Cities Desert-Mountain Division. In November 2014, Jay was elected to represent the 33rd Assembly District.
 
In addition to Jay<'-TOKEN>s dedication to public service, he has a number of other interests including martial arts and aviation. He holds a fifth-degree black belt and believes martial arts instills the virtues of discipline, hard work, and mental fortitude. Jay has also flown light aircraft for 24 years. He has an Airline Transport Pilot<'-TOKEN>s license<--TOKEN>the highest category of pilot license<--TOKEN>and volunteers with the Veteran<'-TOKEN>s Airlift Command to provide transportation to injured and disabled veterans.
 
He and his wife Heather have two sons, Hale and Troy, and have made Big Bear Lake their home for 19 years."
Assembly Member,Patrick O'Donnell,"In November 2014, Patrick O'Donnell was elected to the California State Assembly. He represents District 70, which includes the cities of Avalon, Long Beach Signal Hill and San Pedro.

Assemblymember O'Donnell was a classroom teacher for nearly 20 years and served as a member of the Long Beach City Council.

A leader dedicated to quality education, O'Donnell helped create a program at his high school to provide students with more instructional time. He also lobbied in Sacramento for more school funding.

While on the Long Beach City Council, he helped produce the city<'-TOKEN>s first budget surplus in over a decade. He helped establish a ""Rainy Day Fund"" policy that requires City Council to save in anticipation of tough economic times. He also secured funding for police gang-unit officers and brought crime to its lowest level in 41 years.

O'Donnell worked to raise awareness about human trafficking by introducing legislation to ensure tougher penalties for convicted of the crime. Foster care is another issue O'Donnell has tackled. He led an effort to found the Palace Hotel Project, which converted a former hotel into housing for kids ""aging off"" of foster care to provide additional support.

A firm believer in ensuring access to career technical education and vocational opportunities, he helped establish an afterschool digital academy to teach kids valuable media skills they can use in school and the workplace.

Born in Long Beach, O'Donnell graduated from California State University, Long Beach with a degree in History and a Master's Degree in Public Administration. He lives in the Los Altos neighborhood with his wife and their two daughters."
Assembly Member,Kristin Olsen,"Assembly Republican Leader Kristin Olsen was first elected to the California State Assembly in November 2010 and overwhelmingly re-elected to her third term in November 2014. She represents the 12th Assembly District, which encompasses parts of San Joaquin and Stanislaus Counties in California<'-TOKEN>s Central Valley.  She is the first mother of school-aged children to serve as Leader of a Republican or Democratic caucus in the California Legislature.

A decisive leader who can bring people together, Olsen was named Chief Republican Whip in her first term. She served as Vice Chair of both the Assembly Agriculture and Education committees, and has also served on the Insurance, Higher Education and Accountability and Administrative Review Committees. She was named Legislator of the Year in 2012 by the Regional Council of Rural Counties, in recognition of her hard work and legislative achievements on behalf of her constituents and rural residents throughout the State.

Olsen is a committed and respected leader with a reputation for reform, problem-solving, and hard work. She was selected by the State Legislative Leaders Foundation for its prestigious 2012 Emerging Leaders Program which brought together rising leaders, both Republicans and Democrats, from all over the United States to participate in conference at the University of Virginia.

Born, raised and now raising her own family in Modesto, Olsen has a passion for the communities, businesses, and people of California<'-TOKEN>s Central Valley communities. She previously served on the Modesto City Council from 2005 to 2009, where she stood up for fiscal responsibility, public safety, and economic development.

During her time in the State Assembly, she has successfully passed reforms to environmental, education, and veterans policies in order to protect and grow jobs and facilitate educational excellence.  She also has been a leader on introducing reforms to enhance government accountability and transparency, and has led by example as the first legislator to release her office budget to the public.

In support of working families and small businesses, Olsen has introduced and co-authored bills that would update California<'-TOKEN>s antiquated labor code to allow working parents and all employees more flexible scheduling options.

A vocal advocate for youth and education, Olsen has partnered with colleagues to get important education reform measures passed. AB 215, which will become effective January 1, 2015, will expedite the dismissal process for teachers who have participated in egregious misconduct such as abuse, sexual abuse and drug crimes, and also improves a school<'-TOKEN>s ability to remove ineffective teachers. In 2013, Olsen was instrumental in garnering support for the Local Control Funding Formula (LCFF), a groundbreaking budget reform policy that allows schools to determine the best use of funds for their unique districts.

Olsen has led the charge against onerous and broken environmental policies that have prevented important projects from moving forward. She successfully passed a bill that reformed the California Environmental Quality Act (CEQA) to allow cities and counties to make minor roadway safety improvements, and a bill that eliminated unnecessary bureaucratic roadblocks to restoration construction of State Route 140, which leads directly into Yosemite National Park.

A staunch supporter of veterans and active duty military members, last year the Governor signed two of Olsen<'-TOKEN>s bills dedicated to serving the needs of those who have made sacrifices to protect our country.  AB 150 authorized the Department of Parks and Recreation to provide veterans with free admission to California<'-TOKEN>s state parks on Memorial Day and Veteran<'-TOKEN>s Day.

AB 151 allows counties the option of waiving building and inspection permit fees for ADA-type modifications to homes owned by veterans with service-related disabilities. Before the passage of this bill, counties were required to collect fees for home modifications, improvements and inspections <--TOKEN> a process that was at times drawn out and expensive.

After graduating Magna Cum Laude from Westmont College in 1996 with a Bachelor<'-TOKEN>s in Communications Studies, Olsen was selected to participate in the prestigious Senate Fellowship Program, where she developed a passion for public service.  While serving on the Modesto City Council, she also worked as the Assistant Vice President for Communications & Public Affairs at California State University, Stanislaus where she directed the University<'-TOKEN>s marketing and communications programs.

Olsen now serves on the Board for CASA (Court Appointed Special Advocates), an organization promoting volunteer advocacy for abused and neglected children, and on the Board for California Women Lead, an organization committed to encouraging and training women to be leaders in their communities.

Olsen and her husband, Rod, live in Modesto with their three children."
